Region,Country,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,Antigua and Barbuda ,103133.12,64405.68,38727.44
Asia,Japan,5293366.67,3980619.34,1312747.33
Sub-Saharan Africa,Benin,310077.28,233178.56,76898.72
Central America and the Caribbean,Guatemala,913925.10,520319.73,393605.37
Europe,Norway,30789.00,22836.00,7953.00
Central America and the Caribbean,Trinidad and Tobago,119099.50,79792.90,39306.60
Asia,Myanmar,705132.62,416186.61,288946.01
Europe,Slovakia,830616.60,472890.18,357726.42
Australia and Oceania,Vanuatu,1075074.80,647528.47,427546.33
Central America and the Caribbean,Saint Lucia,707402.30,402741.29,304661.01
Sub-Saharan Africa,Senegal,831511.52,272706.56,558804.96
Australia and Oceania,Kiribati,3218598.81,2782220.01,436378.80
Central America and the Caribbean,Dominican Republic,151460.40,101473.68,49986.72
Europe,Luxembourg,927595.26,547489.53,380105.73
Europe,Ireland,45455.76,33714.24,11741.52
Europe,Hungary,354183.10,266346.20,87836.90
Central America and the Caribbean,Saint Lucia,38529.40,25813.48,12715.92
Europe,Greece,264201.60,177006.72,87194.88
Asia,Laos,79621.10,53343.62,26277.48
Middle East and North Africa,Jordan,5380910.04,4046452.08,1334457.96
Central America and the Caribbean,Barbados,276310.40,166424.56,109885.84
Sub-Saharan Africa,Uganda,1887540.32,1178751.48,708788.84
Europe,Croatia,687038.00,391147.40,295890.60
Sub-Saharan Africa,Malawi,840410.64,536699.52,303711.12
Sub-Saharan Africa,Gabon,2033305.20,1269780.30,763524.90
Europe,Montenegro,1038917.22,663468.96,375448.26
North America,Mexico,245363.95,164386.09,80977.86
Central America and the Caribbean,Haiti,1264986.66,746626.23,518360.43
Central America and the Caribbean,Haiti,663811.06,460273.74,203537.32
Europe,Ireland,745949.71,517227.09,228722.62
Asia,Vietnam,202853.86,140654.94,62198.92
Asia,Indonesia,959232.33,773266.08,185966.25
Central America and the Caribbean,The Bahamas,2805075.20,1689525.28,1115549.92
Asia,Thailand,789593.53,547488.87,242104.66
North America,Canada,382260.27,308151.52,74108.75
Europe,Portugal,93360.36,55103.58,38256.78
Australia and Oceania,Tuvalu,2083084.80,1300867.20,782217.60
Asia,Myanmar,176608.90,118322.38,58286.52
Asia,Taiwan,392140.54,271902.66,120237.88
Europe,Bulgaria,403972.80,243316.92,160655.88
Europe,Cyprus,80853.78,59968.72,20885.06
Sub-Saharan Africa,Burkina Faso,1010689.92,645442.56,365247.36
Europe,Belarus,3993.24,2961.76,1031.48
Australia and Oceania,Tonga,1192116.28,703616.34,488499.94
Australia and Oceania,Nauru,1419588.40,855032.51,564555.89
Europe,Austria,2458565.33,1848844.66,609720.67
Europe,Russia,1863136.76,1401081.52,462055.24
Sub-Saharan Africa,Swaziland,970561.38,619815.84,350745.54
Europe,Austria,1841845.20,1150215.30,691629.90
Europe,Denmark,83956.11,72573.31,11382.80
Asia,Laos,1479394.40,842255.12,637139.28
Europe,Moldova ,433204.20,246633.66,186570.54
Sub-Saharan Africa,Equatorial Guinea,897628.14,573239.52,324388.62
Middle East and North Africa,Oman,1000400.19,752302.38,248097.81
Europe,San Marino,978274.56,320839.68,657434.88
Asia,Brunei,124602.00,75049.05,49552.95
Sub-Saharan Africa,Comoros,1164842.64,727433.46,437409.18
Europe,Georgia,26917.05,19964.20,6952.85
Asia,Sri Lanka,369366.40,121139.20,248227.20
Asia,Kazakhstan,956712.60,564675.30,392037.30
Central America and the Caribbean,Grenada,936311.04,307077.12,629233.92
Asia,Uzbekistan,790819.48,548338.92,242480.56
Europe,Hungary,3769854.69,3038993.44,730861.25
Australia and Oceania,Fiji,792653.10,506200.80,286452.30
Sub-Saharan Africa,Niger,1402974.80,845025.97,557948.83
Australia and Oceania,Solomon Islands,784848.96,257402.88,527446.08
Sub-Saharan Africa,Benin,380877.76,237854.64,143023.12
Asia,Mongolia,389231.58,248569.44,140662.14
Sub-Saharan Africa,Malawi,310655.73,215402.67,95253.06
Europe,Austria,313035.20,188544.28,124490.92
Europe,Lithuania,474115.73,328742.67,145373.06
Sub-Saharan Africa,Togo,2399757.57,1804621.14,595136.43
Sub-Saharan Africa,Zambia,52761.15,39132.60,13628.55
Europe,Romania,265245.50,177706.10,87539.40
Australia and Oceania,Tuvalu,1699372.92,1468971.32,230401.60
Sub-Saharan Africa,Madagascar,2362589.88,1904554.88,458035.00
Central America and the Caribbean,Costa Rica,38094.39,28254.36,9840.03
Australia and Oceania,East Timor,66410.94,49256.56,17154.38
Sub-Saharan Africa,Niger,70510.70,47239.94,23270.76
Middle East and North Africa,Egypt,1228474.44,725075.82,503398.62
Middle East and North Africa,Kuwait,671199.42,428638.56,242560.86
Asia,Laos,397238.10,320225.60,77012.50
Europe,Denmark,717275.90,408362.57,308913.33
Europe,Moldova ,212112.48,69565.44,142547.04
Middle East and North Africa,Iraq,295024.90,174130.95,120893.95
Europe,Belgium,112869.13,78261.27,34607.86
Sub-Saharan Africa,Uganda,2336834.00,1407498.85,929335.15
Australia and Oceania,Solomon Islands,92123.04,30213.12,61909.92
Australia and Oceania,Fiji,296310.36,189228.48,107081.88
Asia,India,224960.45,150716.39,74244.06
Australia and Oceania,Marshall Islands,1544018.91,1244680.16,299338.75
Middle East and North Africa,Saudi Arabia,816564.43,566189.97,250374.46
Sub-Saharan Africa,Seychelles ,6545036.38,4921876.76,1623159.62
Central America and the Caribbean,Trinidad and Tobago,656226.40,215219.20,441007.20
Sub-Saharan Africa,Seychelles ,2031904.60,1156812.58,875092.02
Central America and the Caribbean,El Salvador,1982039.22,1713313.62,268725.60
Europe,Iceland,200139.52,124985.28,75154.24
Central America and the Caribbean,El Salvador,74565.04,44010.12,30554.92
Asia,Laos,489602.68,288975.54,200627.14
Europe,Romania,185110.79,139203.58,45907.21
Sub-Saharan Africa,South Africa,56927.44,35550.66,21376.78
Middle East and North Africa,Tunisia ,381496.48,125117.44,256379.04
Australia and Oceania,Palau,4938776.64,3981296.64,957480.00
Middle East and North Africa,Turkey,1328468.40,1070918.40,257550.00
Sub-Saharan Africa,Guinea,874334.00,546013.50,328320.50
Asia,India,3153.54,2338.96,814.58
Australia and Oceania,New Zealand,687267.57,476538.03,210729.54
Europe,Hungary,808521.42,516334.56,292186.86
Europe,Portugal,1172695.70,667644.11,505051.59
Europe,Denmark,2770973.60,1668985.54,1101988.06
Europe,Poland,246345.20,153840.30,92504.90
Middle East and North Africa,Morocco,2346889.60,1413555.44,933334.16
Europe,Hungary,193209.72,133967.88,59241.84
Central America and the Caribbean,Belize,556009.19,385526.01,170483.18
Sub-Saharan Africa,Sierra Leone,86055.12,54956.16,31098.96
Middle East and North Africa,Kuwait,5050784.66,3798197.32,1252587.34
Sub-Saharan Africa,Sudan,5831992.29,4385666.58,1446325.71
Middle East and North Africa,Afghanistan,769986.88,252528.64,517458.24
Central America and the Caribbean,Dominican Republic,1640397.99,1322374.24,318023.75
Sub-Saharan Africa,Democratic Republic of the Congo,586984.86,407003.94,179980.92
Europe,Macedonia,43454.67,37563.07,5891.60
Europe,Russia,112931.00,75660.20,37270.80
Asia,Japan,101685.35,68125.97,33559.38
Middle East and North Africa,Kuwait,1965052.10,1118751.83,846300.27
Europe,Italy,1174131.63,946502.88,227628.75
Australia and Oceania,Federated States of Micronesia,1250350.96,737987.88,512363.08
Central America and the Caribbean,Honduras,387972.31,269012.49,118959.82
Asia,China,6501029.43,5240675.68,1260353.75
Middle East and North Africa,Iraq,747012.20,517963.80,229048.40
Australia and Oceania,Solomon Islands,4182692.40,2519278.11,1663414.29
Sub-Saharan Africa,Djibouti,2381569.05,2058675.05,322894.00
Central America and the Caribbean,Honduras,577362.72,368712.96,208649.76
Middle East and North Africa,Morocco,3247084.40,1955751.91,1291332.49
Australia and Oceania,Solomon Islands,167301.31,116003.49,51297.82
Sub-Saharan Africa,Lesotho,30649.30,17449.39,13199.91
Europe,Iceland,4083086.70,3291499.20,791587.50
Sub-Saharan Africa,Swaziland,833654.64,720627.44,113027.20
Europe,Georgia,41139.15,27561.93,13577.22
Middle East and North Africa,Jordan,2325470.91,1874632.16,450838.75
Sub-Saharan Africa,Comoros,1161041.28,1003626.88,157414.40
Central America and the Caribbean,Honduras,885168.00,290304.00,594864.00
Europe,Sweden,206286.34,121755.27,84531.07
Europe,France,186910.50,119364.00,67546.50
Asia,India,79706.19,59117.56,20588.63
Sub-Saharan Africa,Mali,283616.08,177115.62,106500.46
Sub-Saharan Africa,Niger,2240592.56,1399229.34,841363.22
Sub-Saharan Africa,Benin,5484490.62,4421213.12,1063277.50
Sub-Saharan Africa,Djibouti,2286287.68,1427765.52,858522.16
Sub-Saharan Africa,Senegal,690868.16,226580.48,464287.68
Sub-Saharan Africa,The Gambia,79239.69,58771.56,20468.13
North America,United States of America,199975.86,172863.06,27112.80
Middle East and North Africa,Pakistan,1419451.74,906484.32,512967.42
Middle East and North Africa,Iran,429137.80,287508.76,141629.04
Sub-Saharan Africa,Burkina Faso,54104.67,40129.08,13975.59
Europe,Lithuania,1178691.20,709937.68,468753.52
Australia and Oceania,Australia,1249850.88,780520.32,469330.56
Middle East and North Africa,Egypt,217890.40,145979.68,71910.72
Asia,Bangladesh,2626697.60,1582086.64,1044610.96
Central America and the Caribbean,Saint Lucia,43493.44,14264.32,29229.12
Middle East and North Africa,Oman,701015.23,527164.46,173850.77
Middle East and North Africa,Tunisia ,392743.65,263125.83,129617.82
Asia,Turkmenistan,41350.56,30669.44,10681.12
Sub-Saharan Africa,Benin,3752289.66,3243552.86,508736.80
North America,Canada,28671.09,21265.16,7405.93
Sub-Saharan Africa,Mauritania,2366126.40,1425141.96,940984.44
Europe,San Marino,697643.52,228802.56,468840.96
Sub-Saharan Africa,South Sudan,1474505.55,1274591.55,199914.00
Middle East and North Africa,Yemen,686387.68,225111.04,461276.64
Europe,Andorra,199574.64,127451.52,72123.12
Europe,Netherlands,1095066.66,699326.88,395739.78
Sub-Saharan Africa,Cameroon,1957235.50,1114301.65,842933.85
Sub-Saharan Africa,Mauritius ,2525433.54,2183034.34,342399.20
Asia,Japan,559616.00,337062.40,222553.60
Europe,Montenegro,323774.76,206767.68,117007.08
Europe,Sweden,1475641.86,1189559.36,286082.50
Central America and the Caribbean,Guatemala,5011356.73,3768547.46,1242809.27
Europe,Switzerland,98444.34,58104.27,40340.07
Sub-Saharan Africa,Sierra Leone,996652.56,636478.08,360174.48
Sub-Saharan Africa,Djibouti,771626.08,253066.24,518559.84
Asia,India,501413.55,347670.45,153743.10
Asia,Nepal,383885.81,266178.99,117706.82
Asia,Uzbekistan,1176809.70,669986.31,506823.39
Sub-Saharan Africa,Guinea,1419046.66,837556.23,581490.43
Europe,Slovenia,67213.32,49851.68,17361.64
Middle East and North Africa,Kuwait,3833369.60,2308877.44,1524492.16
Central America and the Caribbean,Saint Vincent and the Grenadines,762900.00,487200.00,275700.00
Asia,Japan,37599.90,27887.60,9712.30
Europe,Luxembourg,1238314.00,705002.20,533311.80
Middle East and North Africa,Pakistan,76160.79,56487.96,19672.83
Sub-Saharan Africa,Mauritius ,90323.73,66992.52,23331.21
Australia and Oceania,Fiji,1042121.40,665515.20,376606.20
Middle East and North Africa,Iraq,73669.68,54640.32,19029.36
Central America and the Caribbean,Dominica,3582854.00,2157989.35,1424864.65
Asia,Kazakhstan,3393475.06,2551898.12,841576.94
Sub-Saharan Africa,Seychelles ,27271.59,20227.16,7044.43
Middle East and North Africa,Morocco,386337.90,258834.18,127503.72
Sub-Saharan Africa,Burundi,1066559.84,666056.76,400503.08
Sub-Saharan Africa,Equatorial Guinea,60672.99,45000.76,15672.23
Middle East and North Africa,Saudi Arabia,833041.44,273208.32,559833.12
Sub-Saharan Africa,Zimbabwe,1349958.33,1088242.08,261716.25
Australia and Oceania,Fiji,363008.16,226695.24,136312.92
Europe,Belgium,1906427.60,1085375.48,821052.12
Europe,Norway,509995.20,353620.80,156374.40
Sub-Saharan Africa,Cape Verde,763052.58,487297.44,275755.14
Sub-Saharan Africa,Cote d'Ivoire,807428.46,476564.13,330864.33
Asia,Vietnam,709906.78,492235.62,217671.16
Australia and Oceania,East Timor,194023.05,129989.31,64033.74
Australia and Oceania,Federated States of Micronesia,1456756.77,1174335.52,282421.25
Europe,San Marino,617347.08,497662.08,119685.00
Sub-Saharan Africa,Benin,10528.02,6723.36,3804.66
Asia,Kyrgyzstan,307523.45,206030.99,101492.46
Asia,Nepal,5922754.95,4774511.20,1148243.75
Central America and the Caribbean,El Salvador,35957.82,26669.68,9288.14
Europe,Armenia,3816756.00,2298870.90,1517885.10
Middle East and North Africa,United Arab Emirates,414191.05,277494.91,136696.14
North America,Canada,182455.90,103876.57,78579.33
Europe,Serbia,4053718.40,2441595.76,1612122.64
Europe,Kosovo,1090723.68,357719.04,733004.64
Australia and Oceania,Fiji,1264232.20,719758.06,544474.14
Sub-Saharan Africa,Benin,239141.98,165816.42,73325.56
North America,Mexico,1637793.15,1320274.40,317518.75
Europe,Lithuania,998382.08,327434.24,670947.84
Europe,Slovakia,2701815.61,2031769.22,670046.39
Sub-Saharan Africa,Zambia,107786.80,61365.64,46421.16
Middle East and North Africa,Israel,1829701.50,1041693.45,788008.05
Sub-Saharan Africa,Cote d'Ivoire,980071.05,790064.80,190006.25
Europe,Czech Republic,1180053.72,753600.96,426452.76
Sub-Saharan Africa,Angola,426717.85,285887.47,140830.38
Sub-Saharan Africa,Mauritius ,1571540.25,1358470.25,213070.00
Sub-Saharan Africa,Ghana,613437.84,383086.26,230351.58
Sub-Saharan Africa,Senegal,386179.98,246620.64,139559.34
Europe,Estonia,561856.82,331621.71,230235.11
Sub-Saharan Africa,Sao Tome and Principe,109941.65,73657.43,36284.22
Australia and Oceania,Australia,4771447.80,3588135.60,1183312.20
Europe,Serbia,571564.68,365010.24,206554.44
Europe,Denmark,6379904.37,5143033.12,1236871.25
Sub-Saharan Africa,Burkina Faso,6501680.64,5241200.64,1260480.00
Central America and the Caribbean,Guatemala,688986.37,518118.74,170867.63
Central America and the Caribbean,Haiti,1376750.10,783817.23,592932.87
Asia,Kyrgyzstan,1794734.76,1446789.76,347945.00
Sub-Saharan Africa,Republic of the Congo,19014.54,14102.96,4911.58
Middle East and North Africa,Qatar,87580.71,64958.04,22622.67
Central America and the Caribbean,Trinidad and Tobago,317108.35,212452.57,104655.78
Australia and Oceania,Australia,640518.01,444122.79,196395.22
Europe,Greece,414280.48,135869.44,278411.04
Middle East and North Africa,Jordan,614609.60,426158.40,188451.20
Asia,Brunei,1390853.68,820916.04,569937.64
Europe,Denmark,153894.40,92692.16,61202.24
Asia,Indonesia,142190.96,88796.94,53394.02
Sub-Saharan Africa,Togo,35302.80,23651.76,11651.04
Asia,Nepal,988219.04,324101.12,664117.92
Sub-Saharan Africa,Cameroon,52369.29,38841.96,13527.33
Asia,Thailand,1178250.88,695432.64,482818.24
Sub-Saharan Africa,Gabon,2846438.91,2294600.16,551838.75
Europe,Bosnia and Herzegovina,19014.54,14102.96,4911.58
Europe,Liechtenstein,83344.89,61816.36,21528.53
Asia,South Korea,17841.20,11953.04,5888.16
Middle East and North Africa,Iran,2418593.94,1949701.44,468892.50
Asia,North Korea,1454127.20,875835.58,578291.62
Sub-Saharan Africa,South Sudan,52490.58,38931.92,13558.66
Middle East and North Africa,Pakistan,192314.85,128844.87,63469.98
Central America and the Caribbean,The Bahamas,1042563.52,651071.28,391492.24
Sub-Saharan Africa,Equatorial Guinea,5493847.67,4131381.34,1362466.33
Europe,United Kingdom,422733.78,365419.38,57314.40
Asia,Indonesia,326347.89,226283.31,100064.58
Europe,Bulgaria,334980.66,289563.86,45416.80
Sub-Saharan Africa,Guinea-Bissau,96513.30,64660.86,31852.44
Sub-Saharan Africa,Equatorial Guinea,3489.42,2588.08,901.34
Sub-Saharan Africa,Tanzania,51389.64,38115.36,13274.28
Sub-Saharan Africa,Rwanda,2337598.96,1459808.94,877790.02
Central America and the Caribbean,Barbados,34101.60,20539.74,13561.86
Australia and Oceania,Fiji,6051853.12,4551002.24,1500850.88
Middle East and North Africa,Morocco,185482.05,124267.11,61214.94
Central America and the Caribbean,The Bahamas,212860.70,142609.94,70250.76
Europe,Ukraine,5122289.55,3851969.10,1270320.45
Europe,United Kingdom,602460.80,376231.20,226229.60
Europe,Latvia,1151568.08,719143.62,432424.46
Sub-Saharan Africa,Sierra Leone,19518.36,14476.64,5041.72
Asia,Indonesia,8908.57,6177.03,2731.54
Sub-Saharan Africa,Togo,2361318.33,2041169.93,320148.40
Sub-Saharan Africa,Sao Tome and Principe,1753540.48,1318664.96,434875.52
Middle East and North Africa,Egypt,4746669.69,3826433.44,920236.25
Europe,United Kingdom,25386.93,18829.32,6557.61
Europe,San Marino,628718.86,371085.33,257633.53
Australia and Oceania,Solomon Islands,732703.40,417145.82,315557.58
Sub-Saharan Africa,South Africa,2273143.32,1964949.72,308193.60
Europe,Kosovo,88953.92,29173.76,59780.16
Central America and the Caribbean,Trinidad and Tobago,2087675.48,1569934.96,517740.52
Middle East and North Africa,Jordan,1112945.82,962052.22,150893.60
Europe,Italy,186103.84,61035.52,125068.32
Asia,Kazakhstan,1494382.00,882021.00,612361.00
Sub-Saharan Africa,Senegal,1226590.62,783320.16,443270.46
Sub-Saharan Africa,Swaziland,1062029.10,604638.93,457390.17
Asia,Taiwan,238176.76,140577.78,97598.98
Sub-Saharan Africa,Tanzania,43776.36,32468.64,11307.72
Europe,Romania,851186.60,484601.18,366585.42
Europe,Serbia,2820377.20,1698741.83,1121635.37
Europe,Romania,18716.17,12977.43,5738.74
Europe,Estonia,120535.84,39531.52,81004.32
Sub-Saharan Africa,Uganda,4384596.93,3534555.68,850041.25
Europe,Iceland,276627.54,176658.72,99968.82
Sub-Saharan Africa,Nigeria,2048247.55,1540285.10,507962.45
Sub-Saharan Africa,Lesotho,1083408.32,676578.48,406829.84
Central America and the Caribbean,Costa Rica,10617.54,7874.96,2742.58
Australia and Oceania,Solomon Islands,4273240.02,3444787.52,828452.50
Central America and the Caribbean,Trinidad and Tobago,818744.28,522863.04,295881.24
Central America and the Caribbean,Saint Kitts and Nevis ,4122796.00,2483201.90,1639594.10
Sub-Saharan Africa,Sudan,291121.92,95477.76,195644.16
